brand,model,weight_g,display_resolution
Apple,iPhone 7 Plus,188,5.5 inches (~67.7% screen-to-body ratio)
Apple,iPhone 7,138,4.7 inches (~65.6% screen-to-body ratio)
Apple,iPhone SE,113,4.0 inches (~60.8% screen-to-body ratio)
Apple,iPhone 6s Plus,192,5.5 inches (~67.7% screen-to-body ratio)
Apple,iPhone 6s,143,4.7 inches (~65.6% screen-to-body ratio)
Apple,iPhone 6 Plus,172,5.5 inches (~67.8% screen-to-body ratio)
Apple,iPhone 6,129,4.7 inches (~65.8% screen-to-body ratio)
Apple,iPhone 5s,112,4.0 inches (~60.8% screen-to-body ratio)
Apple,iPhone 5c,132,4.0 inches (~59.9% screen-to-body ratio)
Apple,iPhone 5,112,4.0 inches (~60.8% screen-to-body ratio)
Apple,iPhone 4s,140,3.5 inches (~54.0% screen-to-body ratio)
Apple,iPhone 4,137,3.5 inches (~54.0% screen-to-body ratio)
Apple,iPhone 4 CDMA,137,3.5 inches (~54.0% screen-to-body ratio)
Apple,iPhone 3GS,135,3.5 inches (~50.9% screen-to-body ratio)
Apple,iPhone 3G,133,3.5 inches (~50.9% screen-to-body ratio)
Apple,iPhone,135,3.5 inches (~52.0% screen-to-body ratio)
Samsung,Galaxy S8,155,5.8 inches (~83.6% screen-to-body ratio)
Samsung,Galaxy S8+,173,6.2 inches (~84.0% screen-to-body ratio)
Samsung,Galaxy S7 active,184.8,5.1 inches (~64.3% screen-to-body ratio)
Samsung,Galaxy S7,152,5.1 inches (~72.1% screen-to-body ratio)
Samsung,Galaxy S7 edge,157,5.5 inches (~76.1% screen-to-body ratio)
Samsung,Galaxy S7 edge (USA),157,5.5 inches (~76.1% screen-to-body ratio)
Samsung,Galaxy S7 (USA),152,5.1 inches (~72.3% screen-to-body ratio)
Samsung,Galaxy S6 edge+ (USA),153,5.7 inches (~76.5% screen-to-body ratio)
Samsung,Galaxy S6 edge+,153,5.7 inches (~75.6% screen-to-body ratio)
Samsung,Galaxy S6 edge+ Duos,153,5.7 inches (~76.5% screen-to-body ratio)
Samsung,Galaxy S5 Neo,145,5.1 inches (~69.6% screen-to-body ratio)
Samsung,Galaxy S4 mini I9195I,107,4.3 inches (~66.7% screen-to-body ratio)
Samsung,Galaxy S6 active,170,5.1 inches (~66.5% screen-to-body ratio)
Samsung,Galaxy S6 edge (USA),132,5.1 inches (~72.0% screen-to-body ratio)
Samsung,Galaxy S6 (USA),140,5.1 inches (~70.8% screen-to-body ratio)
Samsung,Galaxy S6 edge,132,5.1 inches (~71.7% screen-to-body ratio)
Samsung,Galaxy S6 Plus,,5.5 inches
Samsung,Galaxy S6 Duos,138,5.1 inches (~70.9% screen-to-body ratio)
Samsung,Galaxy S6,138,5.1 inches (~70.7% screen-to-body ratio)
Samsung,Galaxy S5 Plus,145,5.1 inches (~69.6% screen-to-body ratio)
Samsung,Galaxy S5 LTE-A G901F,145,5.1 inches (~69.6% screen-to-body ratio)
Samsung,Galaxy S5 mini Duos,118,4.5 inches (~65.7% screen-to-body ratio)
Samsung,Galaxy S Duos 3,124,4.0 inches (~59.6% screen-to-body ratio)
Samsung,Galaxy Star 2 Plus,129,4.3 inches (~61.6% screen-to-body ratio)
Samsung,Galaxy S5 mini,120,4.5 inches (~65.7% screen-to-body ratio)
Samsung,Galaxy Star 2,107.6,3.5 inches (~55.5% screen-to-body ratio)
Samsung,Galaxy S5 Sport,158,5.1 inches (~67.3% screen-to-body ratio)
Samsung,Galaxy S5 LTE-A G906S,145,5.1 inches (~69.4% screen-to-body ratio)
Samsung,I9301I Galaxy S3 Neo,132,4.8 inches (~65.8% screen-to-body ratio)
Samsung,Galaxy S5 Active,170.1,5.1 inches (~67.2% screen-to-body ratio)
Samsung,I9300I Galaxy S3 Neo,132,4.8 inches (~65.7% screen-to-body ratio)
Samsung,G3812B Galaxy S3 Slim,139,4.52 inches (~64.2% screen-to-body ratio)
Samsung,I8200 Galaxy S III mini VE,112,4.0 inches (~59.4% screen-to-body ratio)
Samsung,Galaxy S5 Duos,145,5.1 inches (~69.6% screen-to-body ratio)
Samsung,Galaxy S5 (octa-core),145,5.1 inches (~69.6% screen-to-body ratio)
Samsung,Galaxy S5 (USA),144.9,5.1 inches (~69.7% screen-to-body ratio)
Samsung,Galaxy S5,145,5.1 inches (~69.6% screen-to-body ratio)
Samsung,Galaxy Star Trios S5283,105,3.14 inches (~47.2% screen-to-body ratio)
Samsung,Galaxy S4 Active LTE-A,147,5.0 inches (~69.2% screen-to-body ratio)
Samsung,Galaxy S Duos 2 S7582,118,4.0 inches (~59.4% screen-to-body ratio)
Samsung,I9506 Galaxy S4,130,5.0 inches (~72.3% screen-to-body ratio)
Samsung,Galaxy Star Pro S7260,121,4.0 inches (~59.9% screen-to-body ratio)
Samsung,Galaxy S4 zoom,208,4.3 inches (~64.0% screen-to-body ratio)
Samsung,Galaxy S II TV,115,4.0 inches (~59.9% screen-to-body ratio)
Samsung,I9190 Galaxy S4 mini,107,4.3 inches (~66.7% screen-to-body ratio)
Samsung,I9295 Galaxy S4 Active,153,5.0 inches (~69.2% screen-to-body ratio)
Samsung,Galaxy Star S5280,100.5,3.0 inches (~45.8% screen-to-body ratio)
Samsung,I9505 Galaxy S4,130,5.0 inches (~72.3% screen-to-body ratio)
Samsung,I9500 Galaxy S4,130,5.0 inches (~72.3% screen-to-body ratio)
Samsung,I9502 Galaxy S4,132,5.0 inches (~72.3% screen-to-body ratio)
Samsung,Galaxy S4 CDMA,130.1,5.0 inches (~72.4% screen-to-body ratio)
Samsung,I9105 Galaxy S II Plus,121,4.3 inches (~63.5% screen-to-body ratio)
Samsung,Galaxy Stratosphere II I415,154,4.0 inches (~55.1% screen-to-body ratio)
Samsung,I8190 Galaxy S III mini,111.5,4.0 inches (~59.4% screen-to-body ratio)
Samsung,I9305 Galaxy S III,131,4.8 inches (~65.9% screen-to-body ratio)
Samsung,Galaxy S Relay 4G T699,147,4.0 inches (~54.8% screen-to-body ratio)
Samsung,Galaxy Stellar 4G I200,134,4.0 inches (~58.3% screen-to-body ratio)
Samsung,Galaxy S Lightray 4G R940,142,4.3 inches (~59.5% screen-to-body ratio)
Samsung,Galaxy S Duos S7562,120,4.0 inches (~59.4% screen-to-body ratio)
Samsung,Galaxy S III T999,133,4.8 inches (~65.9% screen-to-body ratio)
Samsung,Galaxy S III I747,134,4.8 inches (~65.9% screen-to-body ratio)
Samsung,Galaxy S III CDMA,133.2,4.8 inches (~65.1% screen-to-body ratio)
Samsung,I9300 Galaxy S III,133,4.8 inches (~65.9% screen-to-body ratio)
Samsung,I9070 Galaxy S Advance,120,4.0 inches (~58.7% screen-to-body ratio)
Samsung,Galaxy S Blaze 4G T769,127.6,3.97 inches (~58.4% screen-to-body ratio)
Samsung,Galaxy S II Skyrocket HD I757,,4.65 inches
Samsung,I929 Galaxy S II Duos,138,4.52 inches (~65.0% screen-to-body ratio)
Samsung,Galaxy S II Skyrocket i727,130.5,4.5 inches (~64.5% screen-to-body ratio)
Samsung,I9100G Galaxy S II,116,4.3 inches (~63.5% screen-to-body ratio)
Samsung,Galaxy S II HD LTE,130.5,4.65 inches (~66.7% screen-to-body ratio)
Samsung,Galaxy S II I777,121.9,4.3 inches (~63.3% screen-to-body ratio)
Samsung,Galaxy S II X T989D,109,4.52 inches (~66.0% screen-to-body ratio)
Samsung,Galaxy S II T989,135,4.52 inches (~65.1% screen-to-body ratio)
Samsung,Galaxy S II Epic 4G Touch,130,4.52 inches (~63.9% screen-to-body ratio)
Samsung,Galaxy S II LTE i727R,132,4.5 inches (~63.0% screen-to-body ratio)
Samsung,Galaxy S II LTE I9210,132,4.5 inches (~63.0% screen-to-body ratio)
Samsung,Galaxy S II 4G I9100M,116,4.3 inches (~63.5% screen-to-body ratio)
Samsung,I9001 Galaxy S Plus,119,4.0 inches (~58.0% screen-to-body ratio)
Samsung,I9100 Galaxy S II,116,4.3 inches (~63.5% screen-to-body ratio)
Samsung,Galaxy S WiFi 5.0,182,5.0 inches (~64.4% screen-to-body ratio)
Samsung,I9003 Galaxy SL,131,4.0 inches (~57.3% screen-to-body ratio)
Samsung,Galaxy S 4G T959,118,4.0 inches (~57.7% screen-to-body ratio)
Samsung,M190S Galaxy S Hoppin,129,4.0 inches (~58.1% screen-to-body ratio)
Samsung,I9010 Galaxy S Giorgio Armani,123,4.0 inches (~57.9% screen-to-body ratio)
Samsung,I909 Galaxy S,123,4.0 inches (~57.7% screen-to-body ratio)
Samsung,M110S Galaxy S,121,4.0 inches (~58.0% screen-to-body ratio)
Samsung,I9000 Galaxy S,119,4.0 inches (~58.0% screen-to-body ratio)
Samsung,I5700 Galaxy Spica,124,3.2 inches (~46.5% screen-to-body ratio)
