지식기술번호,지식기술명
001,데이터 획득 전략 수립 능력
002,데이터 증강 지식
003,분석 모델 성능에 대한 데이터 품질의 영향
004,요구사항 명세서 분석 능력
005,"수집된 자료 분류, 분석 능력"
006,데이터 유형변환 기술
007,데이터 라벨링 도구 활용
008,데이터 라벨링 스펙 정의 능력
009,이미지 오그멘테이션 기법
010,전처리 실행도구 사용기술
011,"누락된 값, 중복 데이터, 잘못된 데이터 및 이러한 문제를 처리하는 방법을 포함하여 발생할 수 있는 잠재적인 데이터 품질 문제"
012,데이터 획득 전략 수립 능력
013,"수집된 자료 분류, 분석 능력"
014,데이터 Cleansing
015,데이터 정제에 사용되는 업계 표준 접근 방식 및 적용 방법
016,"객체/컴포넌트 지향 개발 소프트웨어(Python,R)"
017,데이터 Ingestion
018,데이터 Transformation
019,데이터 Wrangling
020,"객체/컴포넌트 지향 개발 소프트웨어(Python,R)"
021,전처리 실행도구 사용기술
022,데이터셋의 바이어스를 식별하고 줄이는 기법 및 적용 방법
023,변수 및 피처가 분석 모델을 테스트하고 검증할 때 모델 성능에 미치는 영향에 대한 지식
024,탐색적 데이터 분석(EDA) 능력
025,데이터 증강 지식
026,데이터 품질을 개선하는 데 사용되는 필수 데이터 정리 기술
027,
028,SQL 사용 방법
029,요구사항 명세서 분석 능력
030,데이터 모델링 도구 활용 능력
031,데이터 유형변환 기술
032,"객체/컴포넌트 지향 개발 소프트웨어(Python,R)"
033,내부 인터페이스 API 사용 능력
034,빅데이터 품질 검증 규칙 설계 능력
035,데이터 품질 기준
036,데이터 품질 진단 방법
037,데이터 품질 측정 기법
038,데이터 품질관리 방법론
039,데이터 품질을 개선하는 데 사용되는 필수 데이터 정리 기술
040,데이터 기준 지표
041,핵심품질항목
042,데이터 품질관리 프로세스 설계 능력
043,요구사항 명세서 분석 능력
044,SQL 사용 방법
045,데이터 품질관리시스템 구조 설계 능력
046,데이터 품질관리시스템 구조 설계서 분석 능력
047,데이터 품질관리시스템 구성 능력
048,데이터 기준 지표
049,핵심품질항목
050,빅데이터 품질 지표 품질 현황 분석 능력
051,빅데이터 품질 진단 능력
052,빅데이터 품질관리 기술
053,데이터 보호 및 법적 문제의 범위
054,데이터 보호 및 법적 문제의 범위
055,데이터 보호 범위 및 법적 문제
056,데이터 및 정보보호 정책 동향
057,데이터 품질관리 프레임워크
058,시각인지 기술
059,언어인지 기술
060,음성인지 기술
061,텍스트 분석 및 처리
062,연관성 및 패턴화 관련 머신러닝 기법
063,예측 모델을 위한 지도학습 머신러닝 기법
064,자가학습 시스템
065,핵심 이해관계자에게 데이터기반 해결방식 제시
066,프로세스 분석 및 설계 기술
067,데이터 모델링 설계도구 활용 능력
068,상관분석 적용 기술
069,로지스틱분석 적용 기술
070,"유의수준, 유의확률, 신뢰구간 적용 기술"
071,차원 축소 관련 수학적 기법
072,군집화 기법
073,이슈 분석을 위한 가설 수립 능력
074,"다양한 DB에서 데이터 수집,연계,분석"
075,데이터 확률분포의 활용 능력
076,실시간 데이터 프로세싱 적용법
077,데이터 수집 및 시각화 방법
078,데이터 처리 기술
079,데이터셋 탐색 및 전처리 기술
080,비즈니스 목표 분석 능력
081,데이터 요구사항 도출 능력
082,데이터 요구사항 분류 능력
083,데이터 요구사항 분석 능력
084,데이터 정합성의 중요성
085,데이터 품질관리 프로세스 설계 능력
086,보안 아키텍쳐
087,데이터 표준 규칙
088,업무 도메인 분석 능력
089,인공지능 문제의 목표를 설정할 수 있는 능력
090,비즈니스 모델링 기술
091,품질속성별 아키텍처 요건 도출 능력
092,인공지능 문제 해결 방법에 대한 지식
093,머신러닝 모델 평가 지표
094,모델 비교를 위한 ROC커브 구현 능력
095,모델 성능 검증 방법
096,모델 성능 검증을 위한 데이터셋 분할 및 샘플링 처리 기술
097,통계처리 결과 해석 방법
098,머신러닝 알고리즘 구현을 위한 프로그램 언어 활용 기술
099,자동화 처리 및 시스템 구현 위한 개발 능력
100,알고리즘 설계 및 구현 능력
101,데이터 정제 절차
102,데이터 처리용 프로그램 언어 활용 기술
103,Hadoop 활용 기술
104,데이터 검증 절차
105,데이터 처리용 도구 활용 능력
